titulo,titulo_normalizado,categoria_estimada,energia_kcal_100g,proteinas_100g,hidratos_100g,grasas_100g,grasas_saturadas_100g,azucares_100g,fibra_100g,sal_100g,energia_calculada_kcal,energia_error_pct,energia_consistente,densidad_proteica_kcal,densidad_carbohidrato_kcal,densidad_grasa_kcal,energy_source,data_quality
Chocolate con leche Milka,chocolate con leche milka,otros,530,6.3,59,29,18,58,1.8,0.37,522.2,0.014937,True,0.011887,0.111321,0.054717,original,ok
Chocolate con leche Milka galleta,chocolate con leche milka galleta,otros,562,4.8,55.9,35.1,20.1,47.1,2.1,0.28,558.7,0.005907,True,0.008541,0.099466,0.062456,original,ok
Chocolate con leche Valor almendras enteras,chocolate con leche valor almendras enteras,grasas,567,11,41,39,16,41,,0.00026,559,0.014311,True,0.0194,0.07231,0.068783,original,ok
Chocolate con leche classic Hacendado extrafino,chocolate con leche classic hacendado extrafino,otros,1817.6,8.6,138.5,129.7,60.6,138.5,8.5,85.3,1755.7,0.035257,True,0.004732,0.076199,0.071358,original,suspicious_values
Chocolate con leche extrafino Nestlé,chocolate con leche extrafino nestlé,otros,538,6.3,58.9,30.3,17.4,57.7,2,0.13,533.5,0.008435,True,0.01171,0.10948,0.05632,original,ok
Chocolate con leche fundir Hacendado,chocolate con leche fundir hacendado,otros,531,8.3,54,31,19,52,3.6,0.1,528.2,0.005301,True,0.015631,0.101695,0.05838,original,ok
Chocolate con leche fundir Hacendado,chocolate con leche fundir hacendado,otros,531,8.3,54,31,19,52,3.6,0.1,528.2,0.005301,True,0.015631,0.101695,0.05838,original,ok
Chocolate extrafino con leche Hacendado 0% azúcares añadidos,chocolate extrafino con leche hacendado 0% azúcares añadidos,otros,465,9,47,31,19,11,9,0.295,503,0.075547,True,0.019355,0.101075,0.066667,original,ok
Chocolate extrafino con leche Hacendado almendras enteras,chocolate extrafino con leche hacendado almendras enteras,grasas,561,12,42,37,15,40,3.4,0.2,549,0.021858,True,0.02139,0.074866,0.065954,original,ok
Chocolate líquido a la taza Hacendado,chocolate líquido a la taza hacendado,otros,106,2,21,1.6,1,18,,0.13,106.4,0.003759,True,0.018868,0.198113,0.015094,original,ok
Chocolate negro 55% cacao Hacendado,chocolate negro 55% cacao hacendado,otros,534,5.5,47,35,22,44,7.6,0.01,525,0.017143,True,0.0103,0.088015,0.065543,original,ok
Chocolate negro 55% cacao Hacendado con almendras,chocolate negro 55% cacao hacendado con almendras,grasas,555,10,36,39,17,34,9.7,0.01,535,0.037383,True,0.018018,0.064865,0.07027,original,ok
Chocolate negro 70% cacao fundir Hacendado 0% azúcares añadidos,chocolate negro 70% cacao fundir hacendado 0% azúcares añadidos,otros,525,8.7,35,42,26,0.1,9.7,0,552.8,0.050289,True,0.016571,0.066667,0.08,original,ok
Chocolate negro 70% cacao fundir Hacendado 0% azúcares añadidos,chocolate negro 70% cacao fundir hacendado 0% azúcares añadidos,otros,525,8.7,35,42,26,0.1,9.7,0,552.8,0.050289,True,0.016571,0.066667,0.08,original,ok
Chocolate negro 72% cacao Hacendado con trozos de naranja,chocolate negro 72% cacao hacendado con trozos de naranja,otros,522,8.2,43,33,20,35,10,0.02,501.8,0.040255,True,0.015709,0.082375,0.063218,original,ok
Chocolate negro 72% de cacao Hacendado,chocolate negro 72% de cacao hacendado,otros,568,10,32,42,26,27,11,0.03,546,0.040293,True,0.017606,0.056338,0.073944,original,ok
Chocolate negro 72% de cacao Hacendado con almendras enteras,chocolate negro 72% de cacao hacendado con almendras enteras,grasas,578,14,25,44,20,21,13,0.02,552,0.047101,True,0.024221,0.043253,0.076125,original,ok
Chocolate negro 72% de cacao Hacendado con almendras enteras,chocolate negro 72% de cacao hacendado con almendras enteras,grasas,555,13,23,46,21,0.57,13,0.1075,558,0.005376,True,0.023423,0.041441,0.082883,original,ok
Chocolate negro 85% cacao Hacendado,chocolate negro 85% cacao hacendado,otros,597,12,20,49,30,14,14,0.03,569,0.049209,True,0.020101,0.033501,0.082077,original,ok
Chocolate negro 85% cacao extrafino y edulcorante Hacendado 0% azúcares añadidos,chocolate negro 85% cacao extrafino y edulcorante hacendado 0% azúcares añadidos,otros,580,11,18,51,32,1,15,0.158,575,0.008696,True,0.018966,0.031034,0.087931,original,ok
Chocolate negro fundir Hacendado,chocolate negro fundir hacendado,otros,530,6,48,33,18.5,45,9,0.06,513,0.033138,True,0.011321,0.090566,0.062264,original,ok
Chocolate negro fundir Hacendado,chocolate negro fundir hacendado,otros,530,6,48,33,18.5,45,9,0.06,513,0.033138,True,0.011321,0.090566,0.062264,original,ok
Chocolate puro Valor,chocolate puro valor,otros,540,6.2,50,33,21,47,,0.08,521.8,0.034879,True,0.011481,0.092593,0.061111,original,ok
Chocolate puro Valor con almendras enteras,chocolate puro valor con almendras enteras,grasas,570,9.9,38,40,17,36,,0.06,551.6,0.033358,True,0.017368,0.066667,0.070175,original,ok
Chocolatinas de chocolate negro Royal Mints 49% rellenas de crema sabor a menta,chocolatinas de chocolate negro royal mints 49% rellenas de crema sabor a menta,otros,467,0,66.7,20,15,63.3,3.33,0,446.8,0.04521,True,0,0.142827,0.042827,original,ok
Chopped Hacendado,chopped hacendado,otros,198,12.6,7.2,13.2,4.9,1.7,,2,198,0,True,0.063636,0.036364,0.066667,original,ok
Chopped cerdo Hacendado lonchas,chopped cerdo hacendado lonchas,otros,198,12.6,7.2,13.2,4.9,1.7,,1.9675,198,0,True,0.063636,0.036364,0.066667,original,ok
Chopped cocido en lata Hacendado finas lonchas,chopped cocido en lata hacendado finas lonchas,otros,264,27.4,0,16.3,6.6,0,0,387,256.3,0.030043,True,0.103788,0,0.061742,original,ok
Chorizo Pamplona extra Hacendado lonchas,chorizo pamplona extra hacendado lonchas,otros,452,17,1.5,42,,,,,452,0,True,0.037611,0.003319,0.09292,original,ok
Chorizo asturiano,chorizo asturiano,otros,454,21.8,1.9,39.9,14.6,0.5,,3.14,453.9,0.00022,True,0.048018,0.004185,0.087885,original,ok
Chorizo cular ibérico extra La Hacienda del ibérico,chorizo cular ibérico extra la hacienda del ibérico,otros,548.7,26.5,,48.7,1.2,0.7,,3.7,544.3,0.008084,True,0.048296,0,0.088755,original,ok
Chorizo de Tarancón Bricio,chorizo de tarancón bricio,otros,417,21.1,22,36,13.8,0.7,,3.67,496.4,0.159952,False,0.0506,0.052758,0.086331,original,ok
Chorizo de bellota ibérico La hacienda del ibérico,chorizo de bellota ibérico la hacienda del ibérico,otros,341,19.3,2.6,28.1,9.4,0,0,983,340.5,0.001468,True,0.056598,0.007625,0.082405,original,ok
Chorizo de bellota ibérico cortado a máquina,chorizo de bellota ibérico cortado a máquina,otros,341,19.3,2.6,28.1,9.4,0,0,983,340.5,0.001468,True,0.056598,0.007625,0.082405,original,ok
Chorizo de cebo ibérico cortado a máquina,chorizo de cebo ibérico cortado a máquina,otros,341,19.3,2.6,28.1,9.4,0,0,983,340.5,0.001468,True,0.056598,0.007625,0.082405,original,ok
Chorizo de pavo extra Hacendado lonchas,chorizo de pavo extra hacendado lonchas,proteinas,252,26,3.3,15,4.2,3.3,,4.42,252.2,0.000793,True,0.103175,0.013095,0.059524,original,ok
Chorizo dulce extra Hacendado,chorizo dulce extra hacendado,otros,443,25,0.2,38,14.2,0.2,,3.1,442.8,0.000452,True,0.056433,0.000451,0.085779,original,ok
Chorizo extra Hacendado lonchas,chorizo extra hacendado lonchas,otros,341,24,2.7,26,10,2.1,,0.00825,340.8,0.000587,True,0.070381,0.007918,0.076246,original,ok
Chorizo extra pimienta Hacendado finas lonchas,chorizo extra pimienta hacendado finas lonchas,otros,315,21,3.4,24,9.3,1.4,,3.3,313.6,0.004464,True,0.066667,0.010794,0.07619,original,ok
Chorizo ibérico extra La Hacienda del ibérico lonchas,chorizo ibérico extra la hacienda del ibérico lonchas,otros,493.5,24,1.3,43.6,17.7,0.8,,3.6,493.6,0.000203,True,0.048632,0.002634,0.088349,original,ok
Chorizo oreado,chorizo oreado,otros,341,19.3,2.6,28.1,9.4,0,0,983,340.5,0.001468,True,0.056598,0.007625,0.082405,original,ok
Chorizo picante aperitivo,chorizo picante aperitivo,otros,341,19.3,2.6,28.1,9.4,0,0,983,340.5,0.001468,True,0.056598,0.007625,0.082405,original,ok
Chorizo picante extra Hacendado,chorizo picante extra hacendado,otros,443,25,0.2,38,14.2,0.2,,3.1,442.8,0.000452,True,0.056433,0.000451,0.085779,original,ok
Chorizo picante extra Hacendado lonchas,chorizo picante extra hacendado lonchas,otros,356,21,2.7,29,11,2.1,,,355.8,0.000562,True,0.058989,0.007584,0.081461,original,ok
Chorizo sarta extra ahumado De León,chorizo sarta extra ahumado de león,otros,435,26.6,1.21,36,13.4,1.2,,,435.24,0.000551,True,0.061149,0.002782,0.082759,original,ok
Chorizo sarta extra picante De León,chorizo sarta extra picante de león,otros,435,26.6,1.2,36,13.4,1.2,,3.6,435.2,0.00046,True,0.061149,0.002759,0.082759,original,ok
Chucrut al estilo bávaro Hengstenberg,chucrut al estilo bávaro hengstenberg,otros,22,1.5,1.9,0.5,0.1,1.7,,1.1,18.1,0.21547,False,0.068182,0.086364,0.022727,original,ok
Chuletas aguja de cerdo,chuletas aguja de cerdo,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Chuletas cordero de lechal congeladas,chuletas cordero de lechal congeladas,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Chuletas cordero de lechal congeladas,chuletas cordero de lechal congeladas,otros,,,,,,,,,0,,,,,,original,missing_macros
Chuletas de cerdo sajonia,chuletas de cerdo sajonia,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Chuletas de cerdo sajonia,chuletas de cerdo sajonia,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Chuletas de cordero palo y riñonada,chuletas de cordero palo y riñonada,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Chuletas de pavo contramuslo,chuletas de pavo contramuslo,proteinas,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Chuletas lomo de cerdo,chuletas lomo de cerdo,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Churrasquito de vacuno añojo,churrasquito de vacuno añojo,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Churros Hacendado ultracongelados,churros hacendado ultracongelados,otros,151,3.6,30,1.5,0.2,4.4,1.4,1.2,147.9,0.02096,True,0.023841,0.198675,0.009934,original,ok
Cigala cruda grande Hacendado ultracongelado,cigala cruda grande hacendado ultracongelado,otros,,,,,,,,,0,,,,,,original,missing_macros
Cigala cruda grande Hacendado ultracongelado,cigala cruda grande hacendado ultracongelado,otros,277,11,21.7,16.2,3.7,1.6,1.5,402,276.6,0.001446,True,0.039711,0.078339,0.058484,original,ok
Cigala cruda mediana Hacendado ultracongelada,cigala cruda mediana hacendado ultracongelada,otros,,,,,,,,,0,,,,,,original,missing_macros
Cigala cruda mediana Hacendado ultracongelada,cigala cruda mediana hacendado ultracongelada,otros,277,11,21.7,16.2,3.7,1.6,1.5,402,276.6,0.001446,True,0.039711,0.078339,0.058484,original,ok
Cilantro,cilantro,otros,0,0,0,0,,,,0,0,,,,,,original,suspicious_values
Cilantro Hacendado,cilantro hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Ciruelas desecadas sin hueso Hacendado,ciruelas desecadas sin hueso hacendado,otros,240,2.2,57,0.4,0.1,38,7.1,0,240.4,0.001664,True,0.009167,0.2375,0.001667,original,ok
Claras de huevo líquidas pasteurizadas,claras de huevo líquidas pasteurizadas,proteinas,42,11,0.5,0.5,0.1,0.5,0,0.44,50.5,0.168317,False,0.261905,0.011905,0.011905,original,ok
Claras de huevo líquidas pasteurizadas,claras de huevo líquidas pasteurizadas,proteinas,50,11,0.5,0.1,0.02,0.5,,0.3,46.9,0.066098,True,0.22,0.01,0.002,original,ok
Clavo en grano Hacendado,clavo en grano hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Cocas Cidoncha congeladas,cocas cidoncha congeladas,otros,385,8.3,54.5,13.9,2.3,0.9,,1.9,376.3,0.02312,True,0.021558,0.141558,0.036104,original,ok
Cocas de dacsa Susana congeladas,cocas de dacsa susana congeladas,otros,46,0,12.1,0,0,11.7,0,6,48.4,0.049587,True,0,0.263043,0,original,ok
Cocido Hacendado,cocido hacendado,otros,118,6,9.5,5.7,2,0.7,,1,113.3,0.041483,True,0.050847,0.080508,0.048305,original,ok
Cocktail crunchy sabores Hacendado,cocktail crunchy sabores hacendado,otros,547,16,37,36,4.4,9.1,4.7,1.8,536,0.020522,True,0.02925,0.067642,0.065814,original,ok
Cocktail fruta deshidratada Hacendado,cocktail fruta deshidratada hacendado,otros,425,2.3,70,14,12,41,5.2,0.28,415.2,0.023603,True,0.005412,0.164706,0.032941,original,ok
Cocktail mezcla Hacendado,cocktail mezcla hacendado,otros,498,14.8,41,28.8,2.9,6.8,7.9,1.67,482.4,0.032338,True,0.029719,0.082329,0.057831,original,ok
Cocktail mezcla aperitivos fritos Hacendado,cocktail mezcla aperitivos fritos hacendado,otros,468,4.2,57.2,24.2,,,1.9,,463.4,0.009927,True,0.008974,0.122222,0.051709,original,ok
Cocktail natural Hacendado,cocktail natural hacendado,otros,99,13.2,7.9,1.2,0.2,3,0.4,502,95.2,0.039916,True,0.133333,0.079798,0.012121,original,ok
Cocktail rodeo Hacendado,cocktail rodeo hacendado,otros,490,9,55,24.9,2.7,3.3,4.7,2.5575,480.1,0.020621,True,0.018367,0.112245,0.050816,original,ok
Cocktail rumba Hacendado,cocktail rumba hacendado,otros,563,21.5,26,40.7,6.6,5.6,8.1,1,556.3,0.012044,True,0.038188,0.046181,0.072291,original,ok
Cocktail tostado 0% sal añadida Hacendado,cocktail tostado 0% sal añadida hacendado,otros,621,22.5,5.7,53.7,7.4,5.7,13.7,0,596.1,0.041772,True,0.036232,0.009179,0.086473,original,ok
Cocktail tostado y ahumado Hacendado,cocktail tostado y ahumado hacendado,otros,598,22.8,16,47.2,39.4,5.8,8.5,1.5,580,0.031034,True,0.038127,0.026756,0.07893,original,ok
Coco rallado Hacendado,coco rallado hacendado,otros,,,,,,,,0,0,,,,,,original,missing_macros
Codillo de cerdo,codillo de cerdo,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Codillo de cerdo asado Hacendado,codillo de cerdo asado hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Codornices,codornices,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Cogollos corazón de lechuga,cogollos corazón de lechuga,otros,13,0.98,1.8,1.7,0.4,0.49,,0,26.42,0.507949,False,0.075385,0.138462,0.130769,original,ok
Cogollos de lechuga,cogollos de lechuga,otros,60,1.2,1.8,0.1,0,0.3,0.84,0,12.9,3.651163,False,0.02,0.03,0.001667,original,ok
Cola de rape del Cabo sin piel Hacendado ultracongelada,cola de rape del cabo sin piel hacendado ultracongelada,otros,21,0,5.2,0,,6.8,,10,20.8,0.009615,True,0,0.247619,0,original,ok
Cola de rape del Cabo sin piel Hacendado ultracongelada,cola de rape del cabo sin piel hacendado ultracongelada,otros,21,0,5.2,0,,6.8,,10,20.8,0.009615,True,0,0.247619,0,original,ok
Colas de gambón crudo Hacendado congelado,colas de gambón crudo hacendado congelado,otros,73,16.4,0.5,0.7,,,,,73.9,0.012179,True,0.224658,0.006849,0.009589,original,ok
Colas de gambón crudo Hacendado congelado,colas de gambón crudo hacendado congelado,otros,73,16.4,0.5,0.7,,,,,73.9,0.012179,True,0.224658,0.006849,0.009589,original,ok
Coles de Bruselas Hacendado ultracongeladas,coles de bruselas hacendado ultracongeladas,otros,42,3.2,4.5,0.3,0.1,2.7,,0.03,33.5,0.253731,False,0.07619,0.107143,0.007143,original,ok
Coles de bruselas,coles de bruselas,otros,115.3,0.7,12.2,7.2,1.1,10.8,1.4,280.5,116.4,0.00945,True,0.006071,0.105811,0.062446,original,ok
Coliflor,coliflor,otros,33.8,0,9.3,0.4,0,6.8,2.1,0,40.8,0.171569,False,0,0.275148,0.011834,original,ok
Coliflor Hacendado ultracongelada,coliflor hacendado ultracongelada,otros,28,2.2,3.1,0.3,0.1,2.6,,0.04,23.9,0.171548,False,0.078571,0.110714,0.010714,original,ok
"Coliflor, brócoli y zanahoria Hacendado ultracongelada","coliflor, brócoli y zanahoria hacendado ultracongelada",otros,32,2.1,3.8,0.3,0,3.4,2.6,0.05,26.3,0.21673,False,0.065625,0.11875,0.009375,original,ok
Colorante alimentario Hacendado,colorante alimentario hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Combinado de aperitivos Hacendado,combinado de aperitivos hacendado,otros,512,4.9,59,28,3.1,2.6,2.7,,507.6,0.008668,True,0.00957,0.115234,0.054688,original,ok
"Combinado frutos secos, frutas desecadas y semillas de calabaza Hacendado","combinado frutos secos, frutas desecadas y semillas de calabaza hacendado",grasas,494,14,36,31.3,9,33,4.3,0,481.7,0.025535,True,0.02834,0.072874,0.06336,original,ok
Comino en grano Hacendado,comino en grano hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Comino molido Hacendado,comino molido hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Compango,compango,carbohidratos,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Concha fina al natural Hacendado,concha fina al natural hacendado,otros,93,17.8,2.5,1.3,,,,98.3475,92.9,0.001076,True,0.191398,0.026882,0.013978,original,ok
Conejo entero,conejo entero,otros,2750,50,275,175,100,275,0,500,2875,0.043478,True,0.018182,0.1,0.063636,original,suspicious_values
Confitura de fresa Hacendado 0% azúcares añadidos,confitura de fresa hacendado 0% azúcares añadidos,otros,40,0.6,11.5,0,0,3.4,,0,48.4,0.173554,False,0.015,0.2875,0,original,ok
Confitura de melocotón Hacendado 0% azúcares añadidos,confitura de melocotón hacendado 0% azúcares añadidos,otros,40,0,10,0,0,5.1,0,0,40,0,True,0,0.25,0,original,ok
Cono de golosinas celebración Hacendado,cono de golosinas celebración hacendado,otros,1328.8,0,177.2,59,7.4,125.5,0,146.7,1239.8,0.071786,True,0,0.133353,0.044401,original,suspicious_values
Conos sabor bacón y queso Hacendado,conos sabor bacón y queso hacendado,otros,509,5.1,60,27,3,6.1,2.7,,503.4,0.011124,True,0.01002,0.117878,0.053045,original,ok
Contramuslos de pollo deshuesados y sin piel,contramuslos de pollo deshuesados y sin piel,proteinas,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Contramuslos de pollo sin piel,contramuslos de pollo sin piel,proteinas,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Contramuslos deshuesados y sin piel de pollo certificado alimentado con un 50% de maíz,contramuslos deshuesados y sin piel de pollo certificado alimentado con un 50% de maíz,proteinas,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Copa crema de chocolate y nata Hacendado,copa crema de chocolate y nata hacendado,otros,147,3.2,17,7.4,4.8,15,,0.13,147.4,0.002714,True,0.021769,0.115646,0.05034,original,ok
"Copa de chocolate y nata +Proteínas Hacendado 12,5 g proteínas","copa de chocolate y nata +proteínas hacendado 12,5 g proteínas",otros,84,10,5,2.7,1.8,4,,0.147,84.3,0.003559,True,0.119048,0.059524,0.032143,original,ok
Copos de avena Brüggen,copos de avena brüggen,carbohidratos,375,14,59,7,1.3,0.7,10,0.02,355,0.056338,True,0.037333,0.157333,0.018667,original,ok
Copos de avena integral con chocolate Hacendado,copos de avena integral con chocolate hacendado,carbohidratos,405,10.8,59.5,11.4,4.2,10.4,10.8,0.01,383.8,0.055237,True,0.026667,0.146914,0.028148,original,ok
Copos de avena sin gluten Hacendado,copos de avena sin gluten hacendado,carbohidratos,370,14,58,6.5,1.3,1,11,0,346.5,0.067821,True,0.037838,0.156757,0.017568,original,ok
Coquito,coquito,otros,974.4,10.8,135.1,43.3,37.9,91.9,16.3,432.6,973.3,0.00113,True,0.011084,0.138649,0.044438,original,suspicious_values
Corazones de alcachofa Hacendado,corazones de alcachofa hacendado,otros,26,1.7,3.2,0.4,0.1,0.7,,1,23.2,0.12069,True,0.065385,0.123077,0.015385,original,ok
Corazones de alcachofa Hacendado,corazones de alcachofa hacendado,otros,867.9,12.8,216.8,0,0,191.4,12.9,128.6,918.4,0.054987,True,0.014748,0.249798,0,original,ok
Corazones de alcachofa Hacendado,corazones de alcachofa hacendado,otros,26,1.7,3.2,0.4,0.1,0.7,,0.9825,23.2,0.12069,True,0.065385,0.123077,0.015385,original,ok
Cordero chuleteado,cordero chuleteado,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Cortado en cápsula descafeinado Hacendado,cortado en cápsula descafeinado hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Corvina a filetes,corvina a filetes,otros,95.5,16,0,2.8,1,0,0,51.8,89.2,0.070628,True,0.167539,0,0.029319,original,ok
Corvina abierta a la espalda con espinas y con cabeza,corvina abierta a la espalda con espinas y con cabeza,otros,95.5,16,0,2.8,1,0,0,51.8,89.2,0.070628,True,0.167539,0,0.029319,original,ok
Corvina limpia con cabeza,corvina limpia con cabeza,otros,95.5,16,0,2.8,1,0,0,51.8,89.2,0.070628,True,0.167539,0,0.029319,original,ok
Costilla de cerdo churrasco,costilla de cerdo churrasco,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Costilla de cerdo ibérico adobada,costilla de cerdo ibérico adobada,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Costilla de cerdo ibérico adobada,costilla de cerdo ibérico adobada,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Costilla de vacuno,costilla de vacuno,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Costillas de cerdo a la barbacoa cortadas Hacendado,costillas de cerdo a la barbacoa cortadas hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Costillas de cerdo carnosas a tacos,costillas de cerdo carnosas a tacos,otros,151.8,23.5,0,6.9,4.8,0,0,249.4,156.1,0.027546,True,0.154809,0,0.045455,original,ok
Coulant de chocolate Hacendado,coulant de chocolate hacendado,otros,384,6.5,40,21.2,9.4,34.7,,0.1275,376.8,0.019108,True,0.016927,0.104167,0.055208,original,ok
Cous cous mediano Bia,cous cous mediano bia,otros,346,12,69,1.6,0.4,2.5,3.9,,338.4,0.022459,True,0.034682,0.199422,0.004624,original,ok
Crackers 30% integral,crackers 30% integral,otros,430,11,64.9,12.6,1.3,2,6.5,1.75,417,0.031175,True,0.025581,0.15093,0.029302,original,ok
Crackers con sal Hacendado,crackers con sal hacendado,otros,438,10,69.2,12.8,3.8,2,3,1.75,432,0.013889,True,0.022831,0.157991,0.029224,original,ok
Crackers integrales de espelta Bachman,crackers integrales de espelta bachman,otros,440,15,56,14,1.4,3.8,14,1,410,0.073171,True,0.034091,0.127273,0.031818,original,ok
Crackers sin gluten Hacendado con romero,crackers sin gluten hacendado con romero,otros,443,2.5,78,13,2.3,1.5,,2.1,439,0.009112,True,0.005643,0.176072,0.029345,original,ok
Crema al cacao con avellanas Hacendado,crema al cacao con avellanas hacendado,otros,547,4.4,56,33,7.3,55,2.9,0.13,538.6,0.015596,True,0.008044,0.102377,0.060329,original,ok
Crema al cacao con avellanas Hacendado de 2 sabores,crema al cacao con avellanas hacendado de 2 sabores,otros,1553.3,0,44.5,155.3,0,,,6220,1575.7,0.014216,True,0,0.028649,0.099981,original,suspicious_values
Crema al cacao con avellanas Nocilla original,crema al cacao con avellanas nocilla original,otros,546,5,58,32,5.9,56,3,0.1,540,0.011111,True,0.009158,0.106227,0.058608,original,ok
Crema al cacao con avellanas Nutella,crema al cacao con avellanas nutella,otros,533.333333,6.3,57.5,30.9,10.6,56.3,,0.107,533.3,0.000063,True,0.011813,0.107813,0.057938,original,ok
Crema al cacao y leche con avellanas Nocilla,crema al cacao y leche con avellanas nocilla,otros,539,4.2,60,31,5.7,59,1.8,0.14,535.8,0.005972,True,0.007792,0.111317,0.057514,original,ok
Crema catalana Hacendado,crema catalana hacendado,otros,218,4.1,21.7,12.8,7.8,20.8,,0.13,218.4,0.001832,True,0.018807,0.099541,0.058716,original,ok
Crema de avellanas y cacao Hacendado,crema de avellanas y cacao hacendado,otros,547,6.5,54,33,11,52,3.1,0.1275,539,0.014842,True,0.011883,0.09872,0.060329,original,ok
Crema de cacahuete 100% Hacendado,crema de cacahuete 100% hacendado,otros,608,30,12,47,6.6,5.4,8.2,0,591,0.028765,True,0.049342,0.019737,0.077303,original,ok
Crema de calabacín Hacendado,crema de calabacín hacendado,otros,42,0.8,6.1,1.4,0.4,1.6,0.7,0.61,40.2,0.044776,True,0.019048,0.145238,0.033333,original,ok
Crema de calabacín Hacendado,crema de calabacín hacendado,otros,36,0.3,5.5,1,0.2,2.5,1.8,0.59,32.2,0.118012,True,0.008333,0.152778,0.027778,original,ok
Crema de calabaza Hacendado,crema de calabaza hacendado,otros,36,0.7,4.9,1.3,0.8,2.7,0.7,0.7,34.1,0.055718,True,0.019444,0.136111,0.036111,original,ok
Crema de calabaza y zanahoria Hacendado,crema de calabaza y zanahoria hacendado,otros,48,0.9,4.2,2.8,0.4,0.8,1.4,0.55,45.6,0.052632,True,0.01875,0.0875,0.058333,original,ok
Crema de espárragos Hacendado,crema de espárragos hacendado,otros,47.1,0.943,6.29,1.89,0.286,0.486,0.771,0.675,45.94,0.02525,True,0.020021,0.133546,0.040127,original,ok
Crema de leche para café Campina,crema de leche para café campina,otros,122,3.2,4.2,10.2,7.3,4.2,,0.1,121.4,0.004942,True,0.02623,0.034426,0.083607,original,ok
Crema de leche para café Campina,crema de leche para café campina,otros,122,3.2,4.2,10.2,7.3,4.2,,0.1,121.4,0.004942,True,0.02623,0.034426,0.083607,original,ok
Crema de lentejas Hacendado,crema de lentejas hacendado,otros,70,4.57,6,2.2,0.37,1.31,0,0,62.08,0.127577,True,0.065286,0.085714,0.031429,original,ok
Crema de pollo Hacendado con verduras,crema de pollo hacendado con verduras,proteinas,47,1,4,2.6,1,0.2,1.6,0.9825,43.4,0.082949,True,0.021277,0.085106,0.055319,original,ok
Crema de queso camembert Hacendado,crema de queso camembert hacendado,otros,218,13,1,18,12,0,,1.1,218,0,True,0.059633,0.004587,0.082569,original,ok
Crema de queso viejo tostado mezcla Hacendado,crema de queso viejo tostado mezcla hacendado,otros,249,13,4.2,20,15,2.2,,1.8,248.8,0.000804,True,0.052209,0.016867,0.080321,original,ok
Crema de setas Starlux con champiñones,crema de setas starlux con champiñones,otros,42,0.9,4.7,2.2,0.5,0.5,0.5,0.65,42.2,0.004739,True,0.021429,0.111905,0.052381,original,ok
Crema de soja Hacendado,crema de soja hacendado,otros,141,1.8,6.3,12,1.6,3.8,0.2,0.23,140.4,0.004274,True,0.012766,0.044681,0.085106,original,ok
Crema de verduras Hacendado,crema de verduras hacendado,otros,30.6,0.743,4.57,0.829,0.229,1.34,1.03,0.674,28.71,0.065831,True,0.024281,0.149346,0.027092,original,ok
