titulo,titulo_normalizado,categoria_estimada,energia_kcal_100g,proteinas_100g,hidratos_100g,grasas_100g,grasas_saturadas_100g,azucares_100g,fibra_100g,sal_100g,energia_calculada_kcal,energia_error_pct,energia_consistente,densidad_proteica_kcal,densidad_carbohidrato_kcal,densidad_grasa_kcal,energy_source,data_quality
Arroz redondo J Sendra Hacendado,arroz redondo j sendra hacendado,carbohidratos,349,6.7,78,0.9,0.3,0.5,,0.01,346.9,0.006054,True,0.019198,0.223496,0.002579,original,ok
Arroz redondo La Fallera,arroz redondo la fallera,carbohidratos,347,6.7,77,1.1,0.3,0,0.9,0,344.7,0.006672,True,0.019308,0.221902,0.00317,original,ok
Arroz redondo Sabor,arroz redondo sabor,carbohidratos,,,,,,,,,0,,,,,,original,missing_macros
Arroz tres delicias Hacendado ultracongelado,arroz tres delicias hacendado ultracongelado,carbohidratos,115,4.9,20,1.5,0.5,0.9,0.9,0.79,113.1,0.016799,True,0.042609,0.173913,0.013043,original,ok
Arroz vaporizado Hacendado,arroz vaporizado hacendado,carbohidratos,345,7.9,76,0.7,0.2,0.6,,0,341.9,0.009067,True,0.022899,0.22029,0.002029,original,ok
Arándanos,arándanos,otros,33.8,0,9.3,0.4,0,6.8,2.1,0,40.8,0.171569,False,0,0.275148,0.011834,original,ok
Arándanos,arándanos,otros,33.8,0,9.3,0.4,0,6.8,2.1,0,40.8,0.171569,False,0,0.275148,0.011834,original,ok
Arándanos deshidratados Hacendado,arándanos deshidratados hacendado,otros,342,0.9,79,1.4,0.3,67.8,6.6,0,332.2,0.0295,True,0.002632,0.230994,0.004094,original,ok
Arándanos enteros Hacendado ultracongelados,arándanos enteros hacendado ultracongelados,otros,52,0.7,11,0,0,10,2.4,0,46.8,0.111111,True,0.013462,0.211538,0,original,ok
Atún claro al natural Hacendado,atún claro al natural hacendado,otros,98,21,0.9,1.2,0.4,0.5,0,1.1,98.4,0.004065,True,0.214286,0.009184,0.012245,original,ok
Atún claro en aceite de girasol Hacendado,atún claro en aceite de girasol hacendado,grasas,357,19,0.9,31,4.6,0.5,,0.885,358.6,0.004462,True,0.053221,0.002521,0.086835,original,ok
Atún claro en aceite de girasol Hacendado,atún claro en aceite de girasol hacendado,grasas,357,1,0.9,31,4.6,0.5,,0.9,286.6,0.245639,False,0.002801,0.002521,0.086835,original,ok
Atún claro en aceite de oliva Hacendado,atún claro en aceite de oliva hacendado,grasas,245,21,0.9,18,2.9,0.3,,0.54,249.6,0.018429,True,0.085714,0.003673,0.073469,original,ok
Atún claro en aceite de oliva Hacendado,atún claro en aceite de oliva hacendado,grasas,357,19,0.9,31,4.6,0.5,0,0.89,358.6,0.004462,True,0.053221,0.002521,0.086835,original,ok
Atún claro en aceite de oliva Hacendado,atún claro en aceite de oliva hacendado,grasas,,,,,,,,,0,,,,,,original,missing_macros
Atún claro en escabeche blanco Hacendado,atún claro en escabeche blanco hacendado,otros,116,21,0.8,3.2,0.6,,,1.2,116,0,True,0.181034,0.006897,0.027586,original,ok
Atún en aceite de girasol Hacendado,atún en aceite de girasol hacendado,grasas,262,20,0.5,20,5.4,0.5,,0.87,262,0,True,0.076336,0.001908,0.076336,original,ok
Atún en aceite de oliva Hacendado,atún en aceite de oliva hacendado,grasas,363,18,0.5,32,5.4,0.5,,0.87,362,0.002762,True,0.049587,0.001377,0.088154,original,ok
Atún en salsa de tomate Hacendado,atún en salsa de tomate hacendado,otros,196,13,2.2,15,1.7,0.5,0,0.78,195.8,0.001021,True,0.066327,0.011224,0.076531,original,ok
Avellana tostada Hacendado 0% sal añadida,avellana tostada hacendado 0% sal añadida,otros,710,18,3,68,5.4,3,9.4,0,696,0.020115,True,0.025352,0.004225,0.095775,original,ok
Avena molida Hacendado,avena molida hacendado,carbohidratos,83,1.7,15.5,1.6,0.8,14,0.2,18,83.2,0.002404,True,0.020482,0.186747,0.019277,original,ok
Azafrán hebra Hacendado,azafrán hebra hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Azafrán molido Hacendado,azafrán molido hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Azúcar blanco Hacendado,azúcar blanco hacendado,otros,400,0,100,0,,100,,0,400,0,True,0,0.25,0,original,ok
Azúcar blanco en sobres Hacendado,azúcar blanco en sobres hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Azúcar glas Hacendado,azúcar glas hacendado,otros,395,0,98,0,0,93,0,0,392,0.007653,True,0,0.248101,0,original,ok
Azúcar moreno de caña Hacendado,azúcar moreno de caña hacendado,otros,,,,,,,,,0,,,,,,original,missing_macros
Azúcar moreno en sobres Hacendado,azúcar moreno en sobres hacendado,otros,400,,99,,,99,,,396,0.010101,True,0,0.2475,0,original,missing_macros
Azúcar vainillado Hacendado,azúcar vainillado hacendado,otros,394,0,98.6,0,0,98.6,,0,394.4,0.001014,True,0,0.250254,0,original,ok
Bacalao a rodajas,bacalao a rodajas,otros,191.1,47.9,0,1.6,0,0,0,11857.1,206,0.07233,True,0.250654,0,0.008373,original,ok
Bacalao abierto en libro sin cabeza y sin espina,bacalao abierto en libro sin cabeza y sin espina,otros,191.1,47.9,0,1.6,0,0,0,11857.1,206,0.07233,True,0.250654,0,0.008373,original,ok
Bacalao ahumado Hacendado en aceite de girasol,bacalao ahumado hacendado en aceite de girasol,grasas,253,17,0.9,20,3.1,0.5,,2.5,251.6,0.005564,True,0.067194,0.003557,0.079051,original,ok
Bacalao al punto de sal descongelado,bacalao al punto de sal descongelado,otros,191.1,47.9,0,1.6,0,0,0,11857.1,206,0.07233,True,0.250654,0,0.008373,original,ok
Bacalao media pieza a rodajas,bacalao media pieza a rodajas,otros,191.1,47.9,0,1.6,0,0,0,11857.1,206,0.07233,True,0.250654,0,0.008373,original,ok
Bacalao media pieza abierto en libro sin cabeza y sin espina,bacalao media pieza abierto en libro sin cabeza y sin espina,otros,191.1,47.9,0,1.6,0,0,0,11857.1,206,0.07233,True,0.250654,0,0.008373,original,ok
